"","Units","scenario","region","sector","subsector","PrimaryFuelCO2Coef.name","year","value","PrimaryFuelCO2Coef","fuel"
"76","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2055,0.0908358,0,"nuclearFuelGenIII"
"77","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2060,0.149339,0,"nuclearFuelGenIII"
"78","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2065,0.230391,0,"nuclearFuelGenIII"
"79","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2070,0.26158,0,"nuclearFuelGenIII"
"80","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2075,0.284448,0,"nuclearFuelGenIII"
"81","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2080,0.301155,0,"nuclearFuelGenIII"
"82","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2085,0.312045,0,"nuclearFuelGenIII"
"83","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2090,0.31757,0,"nuclearFuelGenIII"
"84","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2095,0.32109,0,"nuclearFuelGenIII"
"85","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2100,0.318408,0,"nuclearFuelGenIII"
"86","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2020,3.09535e-05,0,"global solar resource"
"87","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2025,0.000263232,0,"global solar resource"
"88","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2030,0.00167206,0,"global solar resource"
"89","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2035,0.00560403,0,"global solar resource"
"90","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2040,0.015703,0,"global solar resource"
"91","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2045,0.0352434,0,"global solar resource"
"92","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2050,0.0623477,0,"global solar resource"
"93","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2055,0.079414,0,"global solar resource"
"94","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2060,0.0859813,0,"global solar resource"
"95","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2065,0.0820787,0,"global solar resource"
"96","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2070,0.0949781,0,"global solar resource"
"97","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2075,0.105582,0,"global solar resource"
"98","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2080,0.113976,0,"global solar resource"
"99","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2085,0.119777,0,"global solar resource"
"100","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2090,0.123754,0,"global solar resource"
