scenario,region,direct,transformation,enduse,ghg,Units,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,ces,CO2,MTCO2e,0,0,0,0,0,0.000276873,0.001263973,0.004003262,0.002129524,0.000264349,2.69E-05,1.35E-05,6.81E-06,4.34E-06,2.98E-06,2.58E-06,2.01E-06,1.68E-06,1.51E-06,1.42E-06,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,agricultural energy use,CO2,MTCO2e,0.746521272,0.640891161,0.961207461,1.081943591,0.530801598,0.055268753,0.014827895,0.006294402,0.002854822,0.001466923,0.000906415,0.000612339,0.0004474,0.000391476,0.000367406,0.000387406,0.000324715,0.000298169,0.000294323,0.000260286,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,aluminum,CO2,MTCO2e,0.280647495,0.180438792,0.286026792,0.338146514,0.180453257,0.017395424,0.004169203,0.001676309,0.000721124,0.000350705,0.00020986,0.000139037,1.00E-04,8.63E-05,7.94E-05,8.24E-05,6.81E-05,6.19E-05,6.08E-05,5.37E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,cement,CO2,MTCO2e,0.652069577,0.615927937,0.751607735,0.796368314,0.309503907,0.025177698,0.005611086,0.00210463,0.000832312,0.000375271,0.000215301,0.000137852,9.70E-05,8.30E-05,7.64E-05,7.91E-05,6.53E-05,5.94E-05,5.84E-05,5.17E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,chemical energy use,CO2,MTCO2e,0.145201084,0.161023665,0.183867142,0.206471007,0.104553816,0.009321413,0.002081892,0.000788741,0.000322255,0.000150986,8.55E-05,5.34E-05,3.60E-05,2.94E-05,2.59E-05,2.58E-05,2.05E-05,1.79E-05,1.69E-05,1.44E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,comm cooling,CO2,MTCO2e,0.406730152,0.448617635,0.707872688,0.922671238,0.453561457,0.048752223,0.013000233,0.00582237,0.002767514,0.001464148,0.000929063,0.000633183,0.000458647,0.000388149,0.000353489,0.000359525,0.000289824,0.000253288,0.00023565,0.000198633,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,comm others,CO2,MTCO2e,2.123358159,2.342029646,3.695489453,5.109861829,2.676780974,0.31129262,0.088008173,0.041505117,0.020680018,0.011514731,0.007689876,0.005526005,0.00422044,0.003773109,0.003629732,0.003907652,0.003332003,0.003085299,0.003041022,0.002689293,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,construction,CO2,MTCO2e,0.192671227,0.195943138,0.121526472,0.117180448,0.063701048,0.007990008,0.002510554,0.001159822,0.000576612,0.000318239,0.00020083,0.00013386,9.49E-05,7.96E-05,7.11E-05,7.09E-05,5.59E-05,4.77E-05,4.34E-05,3.50E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,Freight Rail,CO2,MTCO2e,0.031777407,0.023967828,0.060727735,0.071766368,0.038426428,0.004048873,0.001235231,0.000583622,0.000280491,0.000149893,9.96E-05,7.42E-05,6.04E-05,5.92E-05,6.19E-05,7.28E-05,6.83E-05,7.06E-05,7.87E-05,7.92E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,industrial energy use,CO2,MTCO2e,3.057755011,2.478573343,3.704378578,4.601101989,2.618490849,0.327438296,0.111644367,0.061295294,0.032223371,0.018297904,0.012405166,0.00906043,0.007001085,0.006344677,0.006054797,0.006430072,0.005398663,0.004955155,0.004882854,0.00430577,,
