"","scenario","region","direct","transformation","enduse","year","value","ghg","Units"
"38","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2045,-0.001938506,"CO2","MTCO2e"
"39","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2045,-0.0003738536,"CO2","MTCO2e"
"40","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2045,-0.001538205,"CO2","MTCO2e"
"41","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2045,-0.8660764,"CO2","MTCO2e"
"42","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2045,-0.2220552,"CO2","MTCO2e"
"43","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2045,-0.004189518,"CO2","MTCO2e"
"44","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2045,-2.067121e-05,"CO2","MTCO2e"
"45","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2045,-0.001055413,"CO2","MTCO2e"
"46","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2050,-0.001383493,"CO2","MTCO2e"
"47","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2050,-0.0004163641,"CO2","MTCO2e"
"48","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2050,-0.001180946,"CO2","MTCO2e"
"49","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2050,-0.7016845,"CO2","MTCO2e"
"50","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2050,-0.2303582,"CO2","MTCO2e"
"51","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2050,-0.005941805,"CO2","MTCO2e"
"52","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2050,-2.284009e-05,"CO2","MTCO2e"
"53","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2050,-0.0008332755,"CO2","MTCO2e"
"54","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2055,-0.0008462278,"CO2","MTCO2e"
"55","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2055,-0.0003175632,"CO2","MTCO2e"
"56","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2055,-0.0007138293,"CO2","MTCO2e"
"57","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2055,-0.4643568,"CO2","MTCO2e"
"58","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2055,-0.1822023,"CO2","MTCO2e"
"59","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2055,-0.005054419,"CO2","MTCO2e"
"60","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2055,-1.720578e-05,"CO2","MTCO2e"
"61","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2055,-0.0005307244,"CO2","MTCO2e"
"62","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2060,-0.0007628593,"CO2","MTCO2e"
"63","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2060,-0.0003079684,"CO2","MTCO2e"
