scenario,region,direct,transformation,enduse,ghg,Units,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Large Car and Truck,CH4,MTCO2e,0.613093765,0.92603822,0.766684473,0.80737606,0.559757589,0.451530465,0.393479362,0.306347556,0.193596082,0.087812053,0.037811736,0.016850443,0.008577467,0.005218453,0.003489253,0.002112914,0.001206924,0.00064637,0.000311076,0.000118985
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Light truck,CH4,MTCO2e,0.250810282,0.378832674,0.313644239,0.412080544,0.280524049,0.148923283,0.053730417,0.021235762,0.005904866,0.001426457,0.000243897,2.97E-05,0,0,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Medium truck,CH4,MTCO2e,2.434510724,3.677157871,3.044392805,4.051018563,2.882792616,1.868936357,1.023763585,0.556710933,0.215775165,0.0608141,0.011533486,0.00142597,0,0,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Mini Car,CH4,MTCO2e,0.487683413,0.736610876,0.609856785,0.636766234,0.492103335,0.430120422,0.361004485,0.249404504,0.136608328,0.055845506,0.020241383,0.007228452,0.002884823,0.001469373,0.000901055,0.000504376,0.000269197,0.000136106,6.25E-05,2.33E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Passenger Rail,CH4,MTCO2e,0.003757921,0.005676373,0.00469993,0.006880437,0.004966201,0.003997542,0.002392659,0.001347475,0.000639992,0.000296378,0.000170529,9.71E-05,5.60E-05,3.28E-05,1.80E-05,9.08E-06,4.28E-06,1.81E-06,5.76E-07,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,resid others,CH4,MTCO2e,1.279752115,1.423747676,0.910295927,1.075552857,0.514490507,0.279806085,0.173959405,0.102587055,0.050188855,0.022823123,0.01290333,0.007159761,0.004057822,0.002401499,0.001404395,0.000807774,0.0004679,0.000272588,0.000158675,9.25E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,iron and steel,N2O,MTCO2e,0,0.001373948,0.000609116,0.001981004,0.000998679,0.000690605,0.001237499,0.001248595,0.000534184,0.000163521,3.45E-05,4.32E-06,2.39E-07,2.55E-09,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,2W and 3W,N2O,MTCO2e,0,1.36E-10,7.33E-11,5.48E-09,3.36E-10,2.12E-08,1.56E-08,2.12E-09,8.76E-11,3.39E-12,3.20E-13,1.92E-14,6.40E-16,4.31E-18,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,agricultural energy use,N2O,MTCO2e,0,5.12E-10,2.75E-10,4.17E-08,1.27E-08,1.92E-06,2.41E-06,6.19E-07,4.52E-08,3.11E-09,2.79E-10,1.71E-11,6.13E-13,4.62E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Bus,N2O,MTCO2e,0,1.09E-09,5.87E-10,8.23E-08,2.84E-08,3.30E-06,4.23E-06,1.10E-06,7.00E-08,2.64E-09,8.36E-11,0,0,0,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Car,N2O,MTCO2e,0,1.86E-09,1.00E-09,1.13E-07,3.66E-08,6.09E-06,8.42E-06,2.19E-06,1.84E-07,1.08E-08,6.71E-10,2.63E-11,6.18E-13,3.60E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,cement,N2O,MTCO2e,0,4.91E-10,2.14E-10,3.42E-08,1.16E-08,3.57E-06,9.81E-06,4.84E-06,6.27E-07,6.67E-08,7.90E-09,5.77E-10,2.28E-11,1.83E-13,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,comm heating,N2O,MTCO2e,0,4.13E-11,1.76E-11,2.80E-09,9.65E-10,2.13E-07,4.30E-07,1.84E-07,2.43E-08,2.93E-09,4.50E-10,4.34E-11,2.28E-12,2.37E-14,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,comm others,N2O,MTCO2e,0,8.10E-10,3.44E-10,3.47E-08,6.54E-09,7.52E-07,8.53E-07,2.15E-07,1.69E-08,1.22E-09,1.32E-10,8.96E-12,3.33E-13,2.49E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,construction,N2O,MTCO2e,0,1.91E-10,3.96E-11,5.63E-09,1.53E-09,2.29E-07,3.23E-07,1.02E-07,9.33E-09,8.06E-10,8.50E-11,5.87E-12,2.31E-13,1.91E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Domestic Aviation,N2O,MTCO2e,0,1.06E-09,4.65E-10,8.10E-08,3.00E-08,6.89E-06,1.43E-05,6.05E-06,7.80E-07,9.20E-08,1.40E-08,1.33E-09,6.90E-11,7.09E-13,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Domestic Ship,N2O,MTCO2e,0,2.14E-11,6.52E-12,9.41E-10,2.50E-10,4.22E-08,6.06E-08,1.73E-08,1.52E-09,1.26E-10,1.59E-11,1.28E-12,5.75E-14,5.22E-16,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Freight Rail,N2O,MTCO2e,0,4.91E-11,2.64E-11,4.08E-09,1.53E-09,3.09E-07,5.28E-07,1.65E-07,1.49E-08,1.22E-09,1.48E-10,1.14E-11,4.82E-13,4.08E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Heavy truck,N2O,MTCO2e,0,8.26E-10,4.45E-10,6.38E-08,2.17E-08,3.44E-06,3.66E-06,8.43E-07,4.94E-08,2.00E-09,6.26E-11,7.76E-13,0,0,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,industrial energy use,N2O,MTCO2e,0,5.14E-09,2.12E-09,3.64E-07,1.31E-07,2.89E-05,5.46E-05,1.94E-05,1.92E-06,1.66E-07,1.70E-08,1.10E-09,3.96E-11,2.98E-13,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,industrial feedstocks,N2O,MTCO2e,0,9.94E-10,5.21E-10,9.11E-08,4.64E-08,1.50E-05,4.35E-05,2.29E-05,3.14E-06,3.76E-07,5.06E-08,4.24E-09,1.92E-10,1.75E-12,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,International Aviation,N2O,MTCO2e,0,1.32E-09,5.79E-10,9.31E-08,3.60E-08,7.80E-06,1.48E-05,5.81E-06,6.86E-07,7.34E-08,9.83E-09,8.36E-10,3.91E-11,3.67E-13,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,International Ship,N2O,MTCO2e,0,2.64E-09,2.39E-10,3.43E-08,1.14E-08,2.06E-06,3.26E-06,1.08E-06,1.09E-07,1.02E-08,1.19E-09,8.97E-11,3.78E-12,3.26E-14,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Large Car and Truck,N2O,MTCO2e,0,8.91E-10,4.79E-10,5.47E-08,1.83E-08,3.60E-06,6.01E-06,1.95E-06,1.85E-07,1.19E-08,8.55E-10,4.01E-11,1.16E-12,7.85E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Light truck,N2O,MTCO2e,0,3.64E-10,1.96E-10,2.79E-08,9.18E-09,1.19E-06,8.20E-07,1.35E-07,5.63E-09,1.93E-10,5.52E-12,7.07E-14,0,0,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Medium truck,N2O,MTCO2e,0,3.54E-09,1.90E-09,2.75E-07,9.43E-08,1.49E-05,1.56E-05,3.55E-06,2.06E-07,8.24E-09,2.61E-10,3.39E-12,0,0,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Mini Car,N2O,MTCO2e,0,7.09E-10,3.81E-10,4.32E-08,1.61E-08,3.43E-06,5.51E-06,1.59E-06,1.30E-07,7.56E-09,4.58E-10,1.72E-11,3.89E-13,2.21E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,mining energy use,N2O,MTCO2e,0,5.96E-11,2.58E-11,3.65E-09,9.31E-10,1.28E-07,1.61E-07,4.60E-08,3.75E-09,2.81E-10,2.59E-11,1.55E-12,5.21E-14,3.65E-16,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,Passenger Rail,N2O,MTCO2e,0,5.46E-12,2.94E-12,4.66E-10,1.62E-10,3.19E-08,3.65E-08,8.58E-09,6.11E-10,4.01E-11,3.86E-12,2.31E-13,7.55E-15,4.94E-17,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,refining,resid others,N2O,MTCO2e,0,1.37E-09,5.69E-10,7.29E-08,1.68E-08,2.23E-06,2.66E-06,6.53E-07,4.79E-08,3.09E-09,2.92E-10,1.70E-11,5.47E-13,3.61E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,iron and steel,CH4,MTCO2e,0,0.001611641,0.001603386,0.003532621,0.003107725,0.006350403,0.015914536,0.024837083,0.023020927,0.018920021,0.012787392,0.007892836,0.004737102,0.003137107,0.002071104,0.001319728,0.000874935,0.000575803,0.00036178,0.000236077
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,mining energy use,CH4,MTCO2e,0,0.060952385,0.040413773,0.052609476,0.028008449,0.016004292,0.010521824,0.007216411,0.003923969,0.002070539,0.001139462,0.000648386,0.000384921,0.000241391,0.000147579,8.69E-05,5.16E-05,3.09E-05,1.84E-05,1.09E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,mining energy use,N2O,MTCO2e,0,0,6.03E-06,1.02E-05,3.47E-06,1.37E-06,1.23E-06,6.18E-07,1.61E-07,3.59E-08,5.69E-09,5.61E-10,2.59E-11,2.45E-13,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,mining energy use,CH4,MTCO2e,0,0,1.59E-05,1.81E-05,1.08E-05,1.26E-05,1.59E-05,1.23E-05,6.93E-06,4.15E-06,2.11E-06,1.03E-06,5.15E-07,3.01E-07,1.84E-07,1.12E-07,7.19E-08,4.65E-08,2.91E-08,1.92E-08
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,agricultural energy use,agricultural energy use,N2O_AGR,MTCO2e,0,0,0,0.004918573,0.00461512,0.002688167,0.000874469,0.000438248,0.00023461,0.000143382,8.10E-05,5.95E-05,5.88E-05,6.52E-05,8.51E-05,0.000109956,0.000135178,0.000149586,0.000157955,0.00017079
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,cement,cement,N2O_AGR,MTCO2e,0,0,0,0.000347829,0.000487414,0.000815726,0.000953713,0.00081907,0.000767439,0.000757149,0.000568077,0.000469618,0.000478976,0.000535218,0.000710181,0.000922891,0.00112156,0.001200084,0.001203952,0.001230888
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,comm others,comm others,N2O_AGR,MTCO2e,0,0,0,0.015446234,0.006437335,0.003045843,0.001329679,0.000508823,0.000246479,0.000143178,0.000108335,9.38E-05,9.76E-05,0.000107845,0.000133896,0.000163009,0.00018476,0.000190332,0.000186024,0.000182586
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,construction,construction,N2O_AGR,MTCO2e,0,0,0,5.82E-06,2.35E-05,5.30E-05,6.06E-05,4.30E-05,3.25E-05,2.69E-05,1.85E-05,1.49E-05,1.50E-05,1.64E-05,2.09E-05,2.57E-05,2.96E-05,2.99E-05,2.83E-05,2.71E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,electricity,2W and 3W,N2O_AGR,MTCO2e,0,0,0,1.09E-05,2.80E-05,6.08E-05,8.23E-05,5.83E-05,2.85E-05,1.30E-05,5.94E-06,3.53E-06,2.70E-06,2.52E-06,2.69E-06,2.95E-06,3.22E-06,3.49E-06,3.70E-06,4.01E-06
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,electricity,agricultural energy use,N2O_AGR,MTCO2e,0,0,0,7.98E-05,0.000143024,0.000393453,0.000671813,0.000551073,0.000321576,0.000175735,9.32E-05,6.34E-05,5.55E-05,5.89E-05,7.08E-05,8.66E-05,0.000104726,0.000124577,0.000144063,0.000168122
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,electricity,Bus,N2O_AGR,MTCO2e,0,0,0,7.90E-06,4.61E-05,0.000133573,0.000263281,0.000258298,0.000169706,9.83E-05,5.10E-05,3.26E-05,2.57E-05,2.43E-05,2.60E-05,2.83E-05,3.08E-05,3.32E-05,3.52E-05,3.78E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,electricity,Car,N2O_AGR,MTCO2e,0,0,0,1.86E-08,4.16E-06,4.64E-05,0.000122098,0.000159182,0.000130422,8.91E-05,5.76E-05,4.55E-05,4.38E-05,4.95E-05,6.18E-05,7.75E-05,9.44E-05,0.00011211,0.000128407,0.000147675
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,electricity,cement,N2O_AGR,MTCO2e,0,0,0,8.33E-05,6.39E-05,0.000127101,0.000222799,0.000222663,0.000154798,9.23E-05,5.27E-05,3.78E-05,3.40E-05,3.66E-05,4.42E-05,5.42E-05,6.51E-05,7.68E-05,8.81E-05,0.000101984
