"","scenario","region","direct","transformation","enduse","ghg","Units","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"31","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Freight Rail","CO2","MTCO2e",-3.16715975797743e-10,0,0,0,0,0,-0.00200624266467238,-0.00471053941711491,-0.00490424401316024,-0.00359068187111774,-0.00295320806768204,-0.00281976310402612,-0.00282087366090237,-0.00319515973499457,-0.00350887673680553,-0.00395461960318457,-0.00467099353932148,-0.00613944815108247,-0.00837314256544991,-0.0115098776403598
"32","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Freight Rail","N2O_AGR","MTCO2e",0,0,0,0,0,0,6.34968738761084e-06,1.04333183168963e-05,8.81435597605422e-06,6.09306135439007e-06,3.83368592146115e-06,3.15056981796719e-06,3.32831448029534e-06,4.27516788930631e-06,6.22182069380113e-06,9.23657181042381e-06,1.35753566827173e-05,1.97132669591561e-05,2.79870519925399e-05,4.04400999788796e-05
"33","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Heavy truck","CO2","MTCO2e",0,0,0,-8.30409106444758e-14,-0.000363075915112143,-0.00787439479241647,-0.0469813054577334,-0.0973817770684522,-0.100135015271474,-0.0717984252857638,-0.0579037660588726,-0.0520661964253322,-0.0483004742962419,-0.0504362580885852,-0.0507161664605951,-0.0519390922396054,-0.055294237009404,-0.0649047654922437,-0.0781999204175498,-0.0936693217628755
"34","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Heavy truck","N2O_AGR","MTCO2e",0,0,0,4.59096904727092e-11,1.73648511233152e-06,3.02862263039747e-05,0.00014869417741506,0.00021568975194829,0.00017997180970235,0.00012183541347219,7.51673595804965e-05,5.81744568399329e-05,5.69891414257417e-05,6.74844104585752e-05,8.99281786347576e-05,0.00012131107499012,0.0001607022111211,0.00020840390497384,0.00026138158062293,0.0003291083411488
"35","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","HSR","CO2","MTCO2e",0,0,0,-3.9215717226555e-12,-9.85930434340947e-07,-4.26116719223389e-06,-1.41534882045807e-05,-2.75851204632714e-05,-3.16755763924714e-05,-2.82657510637773e-05,-3.03651167138224e-05,-3.63566821808773e-05,-4.39322996950622e-05,-5.81317452764235e-05,-7.21974741433593e-05,-8.93349489505411e-05,-0.000112709442436639,-0.000154123766271431,-0.000213124248279798,-0.000289417336386875
"36","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","HSR","N2O_AGR","MTCO2e",0,0,0,2.16806562640484e-09,4.7154147377107e-09,1.63891546341258e-08,4.47952917789236e-08,6.10979586663799e-08,5.69302435443112e-08,4.79644150167777e-08,3.94182589852789e-08,4.06219463602984e-08,5.18351854088267e-08,7.77810786838555e-08,1.28018101620257e-07,2.08654372344117e-07,3.27568614622795e-07,4.94878835115435e-07,7.12363293811607e-07,1.0168714546596e-06
"37","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","industrial energy use","CO2","MTCO2e",-7.12338165626877e-07,2.68380673149362e-07,-8.27765752396235e-07,-1.67326470130438e-06,-0.375487873887393,-2.09816188230723,-7.08463525850469,-12.5627118225296,-11.5588539605567,-7.81507497897813,-6.16290705586533,-5.34197493570292,-4.66013309330875,-4.46279130086889,-4.08149786026413,-3.78203808108683,-3.63283234771297,-3.83945807777996,-4.16382804701586,-4.49071244231006
"38","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","industrial energy use","N2O_AGR","MTCO2e",0,0,0,0.00092512250360783,0.00179600733652986,0.00807101046021899,0.022426794303358,0.0278308289929368,0.0207803258158454,0.0132671080855419,0.00800393476178143,0.00597093735582744,0.0055000511685667,0.00597261864214645,0.00723863333903826,0.00883520354086487,0.0105602148197927,0.0123304159184907,0.0139196345282991,0.0157803489347396
"39","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","iron and steel","CO2","MTCO2e",0,1.16580801884947e-08,-4.31082970398275e-08,-1.5091236906068e-07,-0.0407471267055144,-0.290932238073064,-1.45061826991606,-3.99391364053563,-5.44968826626343,-4.98861900595937,-4.9701589067852,-5.14197192386133,-5.12424937189688,-5.38893421481561,-5.24314327895076,-5.05084561673536,-4.9581681384913,-5.29187604089583,-5.74264021311575,-6.15314926938413
"40","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","iron and steel","N2O_AGR","MTCO2e",0,0,0,8.34371445127428e-05,0.0001948988065792,0.00111913058592053,0.00459201022565654,0.00884792464497705,0.00979736383504658,0.00846883078251738,0.00645488034867174,0.00574738605334911,0.00604781734375699,0.00721208920220895,0.00929883906343913,0.0117992595845355,0.014412809522598,0.0169948548080178,0.0191975874343257,0.0216221465448523
